category,target,pool,grain_size,window_size,stride,hop,augmentation,mfcc_l2,fad
percussion,amen_mono_24k.wav,tribal.wav,1,1,2,3,augmented,93.4287,185.6846
percussion,tabla.wav,amen_mono_24k.wav,1,1,2,3,augmented,271.2049,551.6600
percussion,tabla.wav,trap.mp3,1,1,2,3,augmented,138.9016,618.6791
percussion,tabla.wav,tribal.wav,1,1,2,3,augmented,170.4623,332.1601
percussion,trap.mp3,amen_mono_24k.wav,1,1,2,3,augmented,169.9092,282.0043
percussion,trap.mp3,tabla.wav,1,1,2,3,augmented,218.6599,65.8654
percussion,trap.mp3,tribal.wav,1,1,2,3,augmented,90.6717,190.8020
percussion,tribal.wav,amen_mono_24k.wav,1,1,2,3,augmented,194.9333,315.8905
percussion,tribal.wav,tabla.wav,1,1,2,3,augmented,229.9046,75.9694
percussion,tribal.wav,trap.mp3,1,1,2,3,augmented,64.1830,381.7009
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,1,none,260.3789,105.4884
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,1,none,59.2815,398.4405
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,1,none,91.8228,220.9851
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,1,none,253.6063,521.5064
percussion,tabla.wav,trap.mp3,1,1,3,1,none,113.1239,601.6563
percussion,tabla.wav,tribal.wav,1,1,3,1,none,144.1981,315.1883
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,1,none,196.2337,356.3331
percussion,trap.mp3,tabla.wav,1,1,3,1,none,214.1060,71.5084
percussion,trap.mp3,tribal.wav,1,1,3,1,none,114.9589,246.0006
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,1,none,218.6120,397.9824
percussion,tribal.wav,tabla.wav,1,1,3,1,none,217.8897,73.9974
percussion,tribal.wav,trap.mp3,1,1,3,1,none,79.9679,473.3141
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,1,augmented,264.5827,106.5664
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,1,augmented,61.4985,415.8091
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,1,augmented,101.8154,224.5366
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,1,augmented,260.3336,542.8601
percussion,tabla.wav,trap.mp3,1,1,3,1,augmented,110.6373,597.3026
percussion,tabla.wav,tribal.wav,1,1,3,1,augmented,149.8294,320.7725
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,1,augmented,203.1985,356.0527
percussion,trap.mp3,tabla.wav,1,1,3,1,augmented,219.2549,74.7909
percussion,trap.mp3,tribal.wav,1,1,3,1,augmented,108.7032,234.5409
percussion,tribal.wav,amen_mono_24k.wav,1,1,3,1,augmented,224.6935,400.8687
percussion,tribal.wav,tabla.wav,1,1,3,1,augmented,221.3976,77.1833
percussion,tribal.wav,trap.mp3,1,1,3,1,augmented,77.5325,461.6084
percussion,amen_mono_24k.wav,tabla.wav,1,1,3,2,none,255.0844,109.1600
percussion,amen_mono_24k.wav,trap.mp3,1,1,3,2,none,65.6249,411.9292
percussion,amen_mono_24k.wav,tribal.wav,1,1,3,2,none,93.9973,227.4566
percussion,tabla.wav,amen_mono_24k.wav,1,1,3,2,none,250.5860,527.2741
percussion,tabla.wav,trap.mp3,1,1,3,2,none,114.4200,602.0858
percussion,tabla.wav,tribal.wav,1,1,3,2,none,143.7799,312.5679
percussion,trap.mp3,amen_mono_24k.wav,1,1,3,2,none,196.3760,360.6691
percussion,trap.mp3,tabla.wav,1,1,3,2,none,211.8665,72.8727
percussion,trap.mp3,tribal.wav,1,1,3,2,none,113.9405,245.7805
